State,Sector,Indicator,Sub Indicator,desc,Value
Arunachal Pradesh,Urban,Percentage of Households Reporting Possession of Air Conditioner and Air Cooler,Average Number of Air Cooler Per Households Reporting Possession of Air Cooler,Average Number of Air Cooler Per Households Reporting Possession of Air Cooler,1.2
Arunachal Pradesh,All,Percentage of Households Reporting Possession of Air Conditioner and Air Cooler,Average Number of Air Cooler Per Households Reporting Possession of Air Cooler,Average Number of Air Cooler Per Households Reporting Possession of Air Cooler,1.2
Arunachal Pradesh,Rural,Percentage of Households Reporting Possession of Air Conditioner and Air Cooler,Average Number of Air Conditioner Per Households Reporting Possession of Air Conditioner,Average Number of Air Conditioner Per Households Reporting Possession of Air Conditioner,-
Arunachal Pradesh,Urban,Percentage of Households Reporting Possession of Air Conditioner and Air Cooler,Average Number of Air Conditioner Per Households Reporting Possession of Air Conditioner,Average Number of Air Conditioner Per Households Reporting Possession of Air Conditioner,1.5
Arunachal Pradesh,All,Percentage of Households Reporting Possession of Air Conditioner and Air Cooler,Average Number of Air Conditioner Per Households Reporting Possession of Air Conditioner,Average Number of Air Conditioner Per Households Reporting Possession of Air Conditioner,1.5
Assam,Rural,Percentage of Households Reporting Possession of Air Conditioner and Air Cooler,Percentage of Households Reporting Possession of Air Cooler,Percentage of Households Reporting Possession of Air Cooler,0.1
Assam,Urban,Percentage of Households Reporting Possession of Air Conditioner and Air Cooler,Percentage of Households Reporting Possession of Air Cooler,Percentage of Households Reporting Possession of Air Cooler,2
Assam,All,Percentage of Households Reporting Possession of Air Conditioner and Air Cooler,Percentage of Households Reporting Possession of Air Cooler,Percentage of Households Reporting Possession of Air Cooler,0.4
Assam,Rural,Percentage of Households Reporting Possession of Air Conditioner and Air Cooler,Percentage of Households Reporting Possession of Air Conditioner,Percentage of Households Reporting Possession of Air Conditioner,0.1
Assam,Urban,Percentage of Households Reporting Possession of Air Conditioner and Air Cooler,Percentage of Households Reporting Possession of Air Conditioner,Percentage of Households Reporting Possession of Air Conditioner,5.6
Assam,All,Percentage of Households Reporting Possession of Air Conditioner and Air Cooler,Percentage of Households Reporting Possession of Air Conditioner,Percentage of Households Reporting Possession of Air Conditioner,0.8
Assam,Rural,Percentage of Households Reporting Possession of Air Conditioner and Air Cooler,Average Number of Air Cooler Per Households Reporting Possession of Air Cooler,Average Number of Air Cooler Per Households Reporting Possession of Air Cooler,1.6
Assam,Urban,Percentage of Households Reporting Possession of Air Conditioner and Air Cooler,Average Number of Air Cooler Per Households Reporting Possession of Air Cooler,Average Number of Air Cooler Per Households Reporting Possession of Air Cooler,1.4
